Model,cv_results,Train_Accuracy,Precision,Recall,F1_score,Val_Accuracy
LogisticRegression,0.6745583707778587,0.717948717948718,0.7212304483837331,0.717948717948718,0.71689883794067,0.75
RidgeClassifier,0.6716912808527923,0.7211538461538461,0.7265151515151516,0.7211538461538463,0.7194940476190477,0.725
SGDClassifier,0.6462074552122145,0.6057692307692307,0.6178787323685657,0.6057692307692308,0.5953776728100881,0.65
SVC,0.6905067541527795,0.7660256410256411,0.7837606837606838,0.7660256410256411,0.7623117623117623,0.7125
GaussianNB,0.47244099939968565,0.5721153846153846,0.7694300518134716,0.5721153846153846,0.47621877033641735,0.6375
KNeighborsClassifier,0.7059396226751335,0.8349358974358975,0.8617883021338453,0.8349358974358974,0.8318151725365104,0.625
DecisionTreeClassifier,0.7275630850765252,1.0,1.0,1.0,1.0,0.675
RandomForestClassifier,0.7743534723667677,1.0,1.0,1.0,1.0,0.725
AdaBoostClassifier,0.6696864858578527,0.8125,0.8164826933280621,0.8125,0.8119082522008187,0.7375
ExtraTreesClassifier,0.7893924325579355,1.0,1.0,1.0,1.0,0.7375
GradientBoostingClassifier,0.7164494566987618,0.9551282051282052,0.9560464445999918,0.9551282051282051,0.9551056066601573,0.6875
XGBClassifier,0.7494006846776463,1.0,1.0,1.0,1.0,0.7
