Model,cv_results,Train_Accuracy,Precision,Recall,F1_score,Val_Accuracy
LogisticRegression,0.5294849829984591,0.7423167848699763,0.6450258397932817,0.5583419958419958,0.5512831742138916,0.6625
RidgeClassifier,0.5332717356283724,0.735224586288416,0.6156281407035176,0.5332207207207207,0.5093620546810274,0.65
SGDClassifier,0.6085040699582935,0.6997635933806147,0.6286316776007498,0.6426715176715176,0.6333763282353663,0.775
SVC,0.42448979591836733,0.7423167848699763,0.8705463182897862,0.509009009009009,0.4433471368723515,0.6375
GaussianNB,0.35058464258758404,0.36879432624113473,0.6468253968253969,0.5721153846153846,0.3530442851987421,0.6375
KNeighborsClassifier,0.532762900257078,0.8132387706855791,0.7714046822742475,0.7108887733887734,0.7308835254040733,0.625
DecisionTreeClassifier,0.5799663152263227,1.0,1.0,1.0,1.0,0.575
RandomForestClassifier,0.6025686946697456,1.0,1.0,1.0,1.0,0.725
AdaBoostClassifier,0.574913052244371,0.8557919621749409,0.8339127686472819,0.7745582120582121,0.7967387451258419,0.65
ExtraTreesClassifier,0.5694334167053504,1.0,1.0,1.0,1.0,0.675
GradientBoostingClassifier,0.5481704544424537,0.9361702127659575,0.9556103788558415,0.8812803187803188,0.9106708485526346,0.675
XGBClassifier,0.5568186111359262,1.0,1.0,1.0,1.0,0.65
